SID,Location,Replicate,Plot,Clone,Species,Gender,HEMI,CELL,LIG,ASH,SPGR,HT,SNo,Total diam (mm),SDIA,SA,IL,LFA,LFWT,SLA,LMA,LFL,LFW,LFP,Leaf Factor,Leaf Aspect Ratio,Conductance Temp °C,gs,AugSPAD,SeptSPAD
YR1_Geneva_R6_P735,Geneva,6,735,03-01-022,S. purpurea,M,NA,NA,NA,NA,NA,2.69,41,368,8.98,27.49,10.50,14.97,0.1866,80.23,0.0125,8.52,2.19,18.93,3.9,0.52,30.4,572.1,38.1,44.4
YR1_Portland_R1_P127,Portland,1,127,03-01-022,S. purpurea,M,19.02,42.35,26.03,1.32,0.38,2.26,13,98,7.54,6.74,16.25,33.86,0.1469,230.50,0.0043,7,5.37,114.12,1.3,0.03,35.3,351.7,46.7,34.6
YR1_Portland_R2_P168,Portland,2,168,03-01-022,S. purpurea,M,18.08,43.08,26.25,1.67,0.43,1.52,6,33,5.50,1.45,13.00,10.45,0.073,143.15,0.0070,5.76,5.55,76.35,1.04,0.02,27.8,427.5,48.4,48.1
YR1_Portland_R3_P310,Portland,3,310,03-01-022,S. purpurea,M,17.45,37.95,29.47,2.03,0.40,1.75,11,66,6.00,3.30,16.50,8.87,0.0731,121.34,0.0082,5.4,3.98,23.7,1.35,0.2,29.2,672.7,40.3,45.8
YR1_Portland_R4_P439,Portland,4,439,03-01-022,S. purpurea,M,17.76,39.78,27.43,1.74,0.38,2.19,15,121,8.07,8.46,11.50,10.98,0.0841,130.56,0.0077,7.52,2.01,26.35,3.74,0.2,33.2,575.4,32.8,31.4
YR1_Portland_R5_P534,Portland,5,534,03-01-022,S. purpurea,M,NA,NA,NA,NA,NA,2.14,26,208,8.00,13.73,20.50,11.25,0.0957,117.55,0.0085,7.41,1.77,15.91,4.18,0.56,28.0,776.0,28.3,43.3
YR1_Portland_R6_P761,Portland,6,761,03-01-022,S. purpurea,M,NA,NA,NA,NA,NA,1.98,13,106,8.15,7.01,11.00,7.29,0.0713,102.24,0.0098,5.94,1.43,12.8,4.16,0.56,35.1,702.3,40.6,46.0
YR1_WVU_R1_P78,WVU,1,78,03-01-022,S. purpurea,M,15.89,32.50,32.34,3.03,0.41,1.43,8,50,6.25,2.58,23.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,710.4,53.0,NA
YR1_WVU_R2_P137,WVU,2,137,03-01-022,S. purpurea,M,17.33,35.76,30.06,2.06,0.48,1.30,16,110,6.88,6.25,18.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.2,830.5,51.1,NA
YR1_WVU_R3_P304,WVU,3,304,03-01-022,S. purpurea,M,17.43,39.02,27.85,2.09,0.38,2.21,24,220,9.17,16.65,18.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1,781.3,49.9,NA
YR1_WVU_R4_P461,WVU,4,461,03-01-022,S. purpurea,M,17.26,37.84,29.74,2.37,0.46,1.38,11,74,6.73,4.23,14.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.4,294.1,49.2,NA
YR1_WVU_R5_P615,WVU,5,615,03-01-022,S. purpurea,M,NA,NA,NA,NA,NA,1.45,5,39,7.80,2.57,19.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53.5,NA
YR1_WVU_R6_P710,WVU,6,710,03-01-022,S. purpurea,M,NA,NA,NA,NA,NA,1.53,7,46,6.57,2.64,27.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8,NA
YR1_Geneva_R1_P44,Geneva,1,44,03-01-020,S. purpurea,F,17.79,37.42,28.15,2.06,0.43,2.02,17,117,6.88,6.59,11.75,9.79,0.1195,81.92,0.0122,8.94,1.4,17.75,6.37,0.39,32.8,1010.9,31.0,48.7
YR1_Geneva_R2_P136,Geneva,2,136,03-01-020,S. purpurea,F,17.99,36.62,27.67,2.80,0.41,2.13,25,145,5.80,7.11,13.75,11.06,0.1203,91.94,0.0109,9.02,1.61,21.24,5.61,0.31,20.9,483.9,42.2,40.5
YR1_Geneva_R3_P265,Geneva,3,265,03-01-020,S. purpurea,F,17.00,36.42,29.16,2.97,0.41,2.26,23,164,7.13,9.53,13.50,9.61,0.1193,80.55,0.0124,8.42,1.45,17.28,5.79,0.4,31.3,1005.2,53.7,31.1
YR1_Geneva_R4_P407,Geneva,4,407,03-01-020,S. purpurea,F,18.09,36.59,27.76,2.64,0.47,2.45,21,164,7.81,10.68,13.25,16.70,0.1192,140.10,0.0071,10.61,2.06,22.07,5.16,0.43,33.1,763.0,36.4,35.3
YR1_Geneva_R5_P591,Geneva,5,591,03-01-020,S. purpurea,F,NA,NA,NA,NA,NA,2.24,23,163,7.09,9.72,10.75,15.73,0.116,135.60,0.0074,10.7,1.84,22.5,5.83,0.39,34.7,644.7,35.8,33.0
YR1_Geneva_R6_P692,Geneva,6,692,03-01-020,S. purpurea,F,NA,NA,NA,NA,NA,2.29,16,114,7.13,7.04,12.50,17.70,0.1604,110.35,0.0091,12.01,1.9,24.73,6.33,0.36,25.8,765.2,41.4,36.9
YR1_Portland_R1_P79,Portland,1,79,03-01-020,S. purpurea,F,16.40,34.24,31.43,2.67,0.46,1.53,9,49,5.44,2.27,27.50,7.90,0.0753,104.91,0.0095,6.47,1.58,74.75,4.09,0.02,33.5,283.4,36.4,46.3
YR1_Portland_R2_P145,Portland,2,145,03-01-020,S. purpurea,F,16.66,33.82,31.86,2.53,0.36,1.52,10,50,5.00,2.09,27.50,26.72,0.0743,359.62,0.0028,7.91,4.1,145.56,1.93,0.02,31.6,363.8,40.9,38.5
YR1_Portland_R3_P261,Portland,3,261,03-01-020,S. purpurea,F,17.11,36.38,30.43,2.13,0.43,1.18,10,51,5.10,2.19,15.50,7.89,0.0698,113.04,0.0088,7.76,1.27,17.63,6.1,0.32,31.7,410.8,57.4,52.7
YR1_Portland_R4_P454,Portland,4,454,03-01-020,S. purpurea,F,18.81,41.84,27.22,1.33,0.50,1.81,13,87,6.69,4.78,18.75,10.75,0.0915,117.49,0.0085,8.04,1.75,20.28,4.58,0.33,31.8,578.6,50.6,63.6
YR1_Portland_R5_P590,Portland,5,590,03-01-020,S. purpurea,F,NA,NA,NA,NA,NA,1.24,12,61,5.08,2.62,12.50,6.54,0.0613,106.69,0.0094,6.45,1.27,13.52,5.06,0.45,32.2,813.8,41.1,42.4
YR1_Portland_R6_P766,Portland,6,766,03-01-020,S. purpurea,F,NA,NA,NA,NA,NA,1.06,6,36,6.00,1.90,19.25,3.72,0.0307,121.17,0.0083,4.5,1.04,9.28,4.31,0.54,34.1,567.5,44.3,40.5
YR1_WVU_R1_P70,WVU,1,70,03-01-020,S. purpurea,F,16.52,32.71,31.85,2.59,0.44,0.89,4,22,5.50,0.97,18.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,711.1,52.7,NA
YR1_WVU_R2_P217,WVU,2,217,03-01-020,S. purpurea,F,17.31,34.87,30.36,3.33,0.44,1.94,9,70,7.78,4.52,23.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.6,818.9,52.5,NA
YR1_WVU_R3_P287,WVU,3,287,03-01-020,S. purpurea,F,18.08,38.74,28.30,2.47,0.46,1.92,13,103,7.92,7.01,21.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,660.0,51.4,NA
YR1_WVU_R4_P468,WVU,4,468,03-01-020,S. purpurea,F,17.27,36.72,28.94,2.35,0.37,1.65,10,65,6.50,3.56,20.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.8,267.9,52.0,NA
YR1_WVU_R5_P547,WVU,5,547,03-01-020,S. purpurea,F,NA,NA,NA,NA,NA,1.07,8,39,4.88,1.58,15.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.6,NA
YR1_WVU_R6_P713,WVU,6,713,03-01-020,S. purpurea,F,NA,NA,NA,NA,NA,2.05,9,63,7.00,4.22,18.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.6,NA
YR1_Geneva_R1_P92,Geneva,1,92,03-01-019,S. purpurea,F,17.44,40.40,27.25,1.89,0.40,2.09,15,126,8.40,8.84,9.50,10.36,0.0862,120.19,0.0083,8.08,1.7,16.84,4.76,0.46,30.8,785.1,47.1,44.8
YR1_Geneva_R2_P169,Geneva,2,169,03-01-019,S. purpurea,F,17.68,39.11,27.66,2.21,0.61,2.35,33,277,8.39,19.11,11.00,11.03,0.1086,101.57,0.0098,7.74,1.79,17.55,4.34,0.45,26.1,604.5,48.0,29.7
YR1_Geneva_R3_P372,Geneva,3,372,03-01-019,S. purpurea,F,17.78,40.08,27.56,1.73,0.67,2.05,14,109,7.79,6.94,9.25,6.04,0.0873,69.19,0.0145,6.03,1.26,14.27,4.79,0.37,26.6,632.1,50.5,33.5
YR1_Geneva_R4_P417,Geneva,4,417,03-01-019,S. purpurea,F,19.05,41.71,25.49,1.42,0.44,2.43,29,248,8.55,17.91,9.50,12.38,0.1223,101.23,0.0099,9.67,1.8,20.36,5.37,0.38,31.0,635.9,27.7,47.1
YR1_Geneva_R5_P635,Geneva,5,635,03-01-019,S. purpurea,F,NA,NA,NA,NA,NA,2.33,26,208,8.00,13.87,9.75,10.01,0.0984,101.73,0.0098,7.92,1.61,16.71,4.92,0.45,33.4,539.9,39.0,36.5
YR1_Geneva_R6_P684,Geneva,6,684,03-01-019,S. purpurea,F,NA,NA,NA,NA,NA,2.11,13,106,8.15,7.23,10.00,13.90,0.1401,99.21,0.0101,9.15,1.99,20.6,4.6,0.41,26.5,825.6,57.4,49.4
YR1_Portland_R1_P76,Portland,1,76,03-01-019,S. purpurea,F,16.53,35.30,31.07,2.36,0.39,1.55,10,71,7.10,4.11,11.00,17.24,0.0885,194.80,0.0051,8.95,2.57,111.77,3.48,0.02,33.8,468.1,44.1,51.5
YR1_Portland_R2_P178,Portland,2,178,03-01-019,S. purpurea,F,17.09,38.13,29.56,1.93,0.40,1.67,14,91,6.50,4.83,11.50,9.43,0.0672,140.33,0.0071,7.38,3.98,31.87,1.85,0.12,27.1,255.9,42.5,46.7
YR1_Portland_R3_P296,Portland,3,296,03-01-019,S. purpurea,F,18.69,43.41,26.33,0.93,0.50,1.65,17,105,6.18,5.43,11.25,7.78,0.0782,99.49,0.0101,7.21,1.34,19.94,5.38,0.25,27.1,416.6,47.9,42.1
YR1_Portland_R4_P446,Portland,4,446,03-01-019,S. purpurea,F,17.66,36.63,29.53,1.94,0.54,1.56,14,86,6.14,4.29,15.00,7.85,0.0554,141.70,0.0071,6.73,1.45,20.61,4.65,0.23,32.0,502.7,45.7,66.2
YR1_Portland_R5_P583,Portland,5,583,03-01-019,S. purpurea,F,NA,NA,NA,NA,NA,1.89,15,94,6.27,4.76,10.75,11.40,0.0924,123.38,0.0081,7.7,1.81,16.72,4.26,0.51,32.0,688.2,51.3,47.4
YR1_Portland_R6_P669,Portland,6,669,03-01-019,S. purpurea,F,NA,NA,NA,NA,NA,1.88,17,124,7.29,7.40,10.50,8.23,0.0787,104.57,0.0096,6.86,1.58,14.55,4.34,0.49,32.5,679.5,24.5,51.6
YR1_WVU_R1_P65,WVU,1,65,03-01-019,S. purpurea,F,16.46,34.61,30.84,2.49,0.47,1.25,NA,NA,NA,NA,13.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.2,546.7,59.6,NA
YR1_WVU_R2_P139,WVU,2,139,03-01-019,S. purpurea,F,16.29,33.35,31.19,2.87,0.44,1.85,6,46,7.67,3.36,12.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.3,738.6,59.8,NA
YR1_WVU_R3_P295,WVU,3,295,03-01-019,S. purpurea,F,16.03,34.22,31.20,2.51,0.31,1.66,8,54,6.75,3.36,12.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.3,774.7,63.8,NA
YR1_WVU_R4_P422,WVU,4,422,03-01-019,S. purpurea,F,16.30,32.95,31.61,3.57,0.47,1.52,2,12,6.00,0.57,15.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.8,250.0,48.1,NA
YR1_WVU_R5_P528,WVU,5,528,03-01-019,S. purpurea,F,NA,NA,NA,NA,NA,1.00,7,25,3.57,0.76,18.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49.9,NA
YR1_WVU_R6_P701,WVU,6,701,03-01-019,S. purpurea,F,NA,NA,NA,NA,NA,1.37,3,20,6.67,1.21,17.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.1,NA
YR1_Geneva_R1_P109,Geneva,1,109,03-01-017,S. purpurea,F,18.06,37.92,27.15,2.11,0.36,2.71,34,290,8.53,21.06,15.00,10.94,0.1447,75.60,0.0132,8.22,1.69,17.24,4.88,0.46,31.4,875.1,49.5,58.1
YR1_Geneva_R2_P157,Geneva,2,157,03-01-017,S. purpurea,F,18.54,40.06,25.98,1.76,0.39,3.06,41,345,8.41,25.63,25.00,10.41,0.1173,88.75,0.0113,7.93,1.55,17.85,5.12,0.41,25.5,634.5,47.3,53.8
YR1_Geneva_R3_P367,Geneva,3,367,03-01-017,S. purpurea,F,18.05,40.21,25.73,2.55,0.46,2.37,20,179,8.95,13.45,11.50,8.44,0.1322,63.84,0.0157,6.74,1.53,14.68,4.41,0.49,26.0,529.1,42.4,40.2
YR1_Geneva_R4_P437,Geneva,4,437,03-01-017,S. purpurea,F,18.39,38.27,26.77,2.14,0.40,2.61,32,267,8.34,18.56,14.00,12.10,0.1275,94.90,0.0105,8.54,1.73,18.35,4.94,0.45,33.1,698.2,30.3,38.2
YR1_Geneva_R5_P540,Geneva,5,540,03-01-017,S. purpurea,F,NA,NA,NA,NA,NA,2.72,39,331,8.49,23.88,10.75,13.39,0.1604,83.48,0.0120,9.12,1.78,19.74,5.12,0.43,31.3,672.6,39.7,39.8
YR1_Geneva_R6_P683,Geneva,6,683,03-01-017,S. purpurea,F,NA,NA,NA,NA,NA,3.06,28,247,8.82,19.41,9.75,9.05,0.1057,85.62,0.0117,7.08,1.57,15.39,4.5,0.48,26.7,695.1,39.0,63.8
YR1_Portland_R1_P43,Portland,1,43,03-01-017,S. purpurea,F,17.48,39.86,27.59,1.95,0.59,1.94,15,104,6.93,6.02,15.50,10.29,0.0686,150.00,0.0067,8.15,1.68,81.28,4.85,0.02,28.9,250.4,47.3,44.0
YR1_Portland_R2_P249,Portland,2,249,03-01-017,S. purpurea,F,15.80,33.16,31.95,3.23,0.37,2.07,21,149,7.10,8.87,22.50,7.48,0.0641,116.69,0.0086,6.09,1.57,25.93,3.87,0.14,24.8,180.5,52.8,48.9
YR1_Portland_R3_P268,Portland,3,268,03-01-017,S. purpurea,F,17.40,34.57,30.68,2.18,0.39,1.61,7,33,4.71,1.59,11.00,7.72,0.0624,123.72,0.0081,7.06,1.38,16.31,5.11,0.37,29.0,505.0,38.4,33.8
YR1_Portland_R4_P517,Portland,4,517,03-01-017,S. purpurea,F,18.09,41.10,26.79,1.87,0.39,2.52,23,183,7.96,13.34,17.50,22.58,0.2134,105.81,0.0095,12.45,2.34,28.8,5.31,0.34,28.6,406.5,36.2,42.8
YR1_Portland_R5_P623,Portland,5,623,03-01-017,S. purpurea,F,NA,NA,NA,NA,NA,2.33,29,218,7.52,13.73,25.00,9.45,0.0726,130.17,0.0077,7.43,1.54,16.28,4.82,0.45,34.1,771.9,37.7,50.8
YR1_Portland_R6_P717,Portland,6,717,03-01-017,S. purpurea,F,NA,NA,NA,NA,NA,2.24,23,164,7.13,9.79,34.00,8.63,0.0759,113.70,0.0088,7.44,1.44,15.85,5.16,0.43,32.3,710.9,36.3,31.8
YR1_WVU_R1_P126,WVU,1,126,03-01-017,S. purpurea,F,15.52,30.30,32.35,3.56,0.42,2.04,28,243,8.68,17.30,28.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.5,746.1,61.0,NA
YR1_WVU_R2_P197,WVU,2,197,03-01-017,S. purpurea,F,18.25,37.89,27.41,2.60,0.44,2.11,19,147,7.74,9.72,19.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.2,662.4,56.3,NA
YR1_WVU_R3_P360,WVU,3,360,03-01-017,S. purpurea,F,18.71,41.06,26.36,1.91,0.34,0.63,19,155,8.16,11.18,28.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2,578.0,60.1,NA
YR1_WVU_R4_P418,WVU,4,418,03-01-017,S. purpurea,F,18.56,42.01,26.03,1.52,0.44,2.90,34,258,7.59,17.62,29.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.5,255.2,61.0,NA
YR1_WVU_R5_P521,WVU,5,521,03-01-017,S. purpurea,F,NA,NA,NA,NA,NA,0.65,12,86,7.17,5.22,19.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58.4,NA
YR1_WVU_R6_P738,WVU,6,738,03-01-017,S. purpurea,F,NA,NA,NA,NA,NA,2.05,20,153,7.65,9.75,28.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.8,NA
YR1_Geneva_R1_P39,Geneva,1,39,03-01-013,S. purpurea,F,17.03,36.16,28.25,2.98,0.54,1.56,14,87,6.21,4.58,13.00,6.90,0.0711,97.05,0.0103,7.24,1.19,14.78,6.08,0.4,32.5,711.6,45.1,36.5
YR1_Geneva_R2_P251,Geneva,2,251,03-01-013,S. purpurea,F,16.00,30.08,33.27,3.86,0.47,1.80,21,122,5.81,5.78,12.75,6.44,0.0965,66.74,0.0150,7.09,1.17,14.66,6.08,0.38,30.4,611.6,39.3,44.7
YR1_Geneva_R3_P278,Geneva,3,278,03-01-013,S. purpurea,F,18.04,36.41,28.60,2.23,0.46,1.70,25,151,6.04,7.37,8.00,9.82,0.0668,147.01,0.0068,6.34,1.83,24.26,3.47,0.21,27.9,657.3,30.4,49.9
YR1_Geneva_R4_P516,Geneva,4,516,03-01-013,S. purpurea,F,16.49,31.73,31.11,3.54,0.33,1.94,22,154,7.00,8.69,15.00,9.35,0.1126,83.04,0.0120,7.65,1.47,16.02,5.22,0.46,30.1,679.4,25.4,33.3
YR1_Geneva_R5_P532,Geneva,5,532,03-01-013,S. purpurea,F,NA,NA,NA,NA,NA,2.06,33,222,6.73,12.14,7.25,12.29,0.0966,127.23,0.0079,7.7,1.86,16.8,4.14,0.55,27.7,555.8,38.8,35.0
YR1_Geneva_R6_P736,Geneva,6,736,03-01-013,S. purpurea,F,NA,NA,NA,NA,NA,1.73,25,159,6.36,8.29,8.25,5.22,0.058,90.00,0.0111,6.05,1.11,14.24,5.47,0.32,30.3,715.9,40.8,37.2
YR1_Portland_R1_P32,Portland,1,32,03-01-013,S. purpurea,F,18.33,42.57,26.19,1.56,0.49,1.15,11,58,5.27,2.54,14.00,18.14,0.0541,335.30,0.0030,10.73,2.25,185.15,4.77,0.01,28.7,311.4,39.4,32.2
YR1_Portland_R2_P252,Portland,2,252,03-01-013,S. purpurea,F,16.97,33.86,32.81,2.48,0.44,1.22,5,20,4.00,0.83,10.25,5.69,0.0472,120.55,0.0083,5.25,1.31,24.25,4,0.12,24.8,241.4,43.7,30.5
YR1_Portland_R3_P363,Portland,3,363,03-01-013,S. purpurea,F,15.58,30.80,35.53,2.89,0.46,1.31,15,70,4.67,2.67,13.50,7.46,0.0602,123.92,0.0081,6.94,1.53,23.37,4.54,0.17,32.9,519.7,39.5,38.6
YR1_Portland_R4_P430,Portland,4,430,03-01-013,S. purpurea,F,16.39,37.32,30.37,1.67,0.47,1.61,10,51,5.10,2.18,12.00,6.35,0.0344,184.59,0.0054,6.45,1.29,24.26,5.02,0.14,30.8,537.3,52.4,51.4
YR1_Portland_R5_P636,Portland,5,636,03-01-013,S. purpurea,F,16.97,33.86,32.81,2.48,0.44,1.06,8,36,4.50,1.34,15.25,4.80,0.0315,152.38,0.0066,5.3,1.14,10.61,4.66,0.54,34.1,489.2,35.7,35.4
YR1_Portland_R6_P765,Portland,6,765,03-01-013,S. purpurea,F,NA,NA,NA,NA,NA,0.74,3,13,4.33,0.46,14.25,4.09,0.0297,137.71,0.0073,4.91,1,10.11,4.88,0.5,34.3,498.5,40.6,28.6
YR1_WVU_R1_P123,WVU,1,123,03-01-013,S. purpurea,F,15.98,33.45,31.86,3.14,0.40,1.31,32,150,4.69,5.83,15.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,554.5,52.0,NA
YR1_WVU_R2_P175,WVU,2,175,03-01-013,S. purpurea,F,15.37,29.96,34.84,3.92,0.59,0.48,2,4,2.00,0.13,18.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.5,671.9,40.9,NA
YR1_WVU_R3_P290,WVU,3,290,03-01-013,S. purpurea,F,16.49,34.84,31.92,3.45,0.55,2.64,15,87,5.80,4.20,12.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.3,383.3,49.8,NA
YR1_WVU_R4_P453,WVU,4,453,03-01-013,S. purpurea,F,15.30,30.53,34.36,3.76,0.40,2.43,7,33,4.71,1.39,12.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3,105.8,51.5,NA
YR1_WVU_R5_P551,WVU,5,551,03-01-013,S. purpurea,F,NA,NA,NA,NA,NA,1.03,6,20,3.33,0.61,8.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,45.4,NA
YR1_WVU_R6_P748,WVU,6,748,03-01-013,S. purpurea,F,NA,NA,NA,NA,NA,0.96,2,4,2.00,0.13,10.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.6,NA
YR1_Geneva_R1_P16,Geneva,1,16,03-01-007,S. purpurea,F,18.48,40.18,26.30,1.42,0.31,2.45,18,152,8.44,10.67,13.50,9.66,0.1196,80.77,0.0124,7.81,1.58,17.1,4.96,0.42,29.8,745.3,49.3,41.0
YR1_Geneva_R2_P167,Geneva,2,167,03-01-007,S. purpurea,F,18.29,38.45,27.64,1.98,0.53,2.81,23,223,9.70,17.91,14.00,12.13,0.1313,92.38,0.0108,8.92,1.67,19.02,5.32,0.42,24.4,603.1,43.6,39.9
YR1_Geneva_R3_P346,Geneva,3,346,03-01-007,S. purpurea,F,19.66,39.83,25.83,1.36,0.50,2.36,33,266,8.06,17.62,10.75,8.50,0.1017,83.58,0.0120,7.19,1.47,15.35,4.88,0.45,27.5,676.1,37.7,38.6
YR1_Geneva_R4_P504,Geneva,4,504,03-01-007,S. purpurea,F,17.65,36.30,29.12,2.21,0.42,2.31,22,217,9.86,17.99,28.50,10.21,0.0903,113.07,0.0088,8.33,1.52,17.31,5.5,0.43,30.6,667.1,45.6,37.1
YR1_Geneva_R5_P600,Geneva,5,600,03-01-007,S. purpurea,F,NA,NA,NA,NA,NA,2.31,30,237,7.90,15.61,16.00,13.08,0.0945,138.41,0.0072,8.96,1.82,19.08,4.94,0.45,30.3,655.9,46.8,36.3
YR1_Geneva_R6_P710,Geneva,6,710,03-01-007,S. purpurea,F,NA,NA,NA,NA,NA,2.65,29,260,8.97,19.89,10.50,12.84,0.1189,107.99,0.0093,9.14,1.81,20.06,5.05,0.4,28.1,761.5,37.9,40.5
YR1_Portland_R1_P47,Portland,1,47,03-01-007,S. purpurea,F,17.50,37.59,29.13,1.99,0.45,1.85,15,111,7.40,7.01,18.75,7.42,0.0752,98.67,0.0101,6.07,1.54,53.83,3.94,0.03,28.5,325.6,50.7,31.1
YR1_Portland_R2_P182,Portland,2,182,03-01-007,S. purpurea,F,19.46,44.57,25.35,0.78,0.42,1.91,10,76,7.60,4.67,12.50,11.63,0.077,151.04,0.0066,8.17,1.85,34.55,4.42,0.12,28.0,346.7,54.5,49.9
YR1_Portland_R3_P372,Portland,3,372,03-01-007,S. purpurea,F,18.05,40.10,27.72,1.73,0.50,1.85,17,111,6.53,6.10,10.50,5.63,0.0488,115.37,0.0087,5.54,1.38,21.06,4.01,0.16,31.1,482.6,49.1,37.6
YR1_Portland_R4_P444,Portland,4,444,03-01-007,S. purpurea,F,16.94,35.74,30.40,1.95,0.41,2.15,9,62,6.89,3.58,21.50,9.77,0.0599,163.11,0.0061,7.98,1.54,19,5.18,0.34,32.6,585.3,50.7,27.7
YR1_Portland_R5_P573,Portland,5,573,03-01-007,S. purpurea,F,NA,NA,NA,NA,NA,1.94,5,31,6.20,1.89,17.50,6.87,0.0611,112.44,0.0089,6.28,1.43,13.21,4.4,0.49,31.8,721.3,58.9,40.2
YR1_Portland_R6_P774,Portland,6,774,03-01-007,S. purpurea,F,NA,NA,NA,NA,NA,2.27,18,140,7.78,9.09,22.00,13.09,0.1151,113.73,0.0088,8.43,1.97,18.54,4.27,0.48,33.3,662.9,34.6,50.2
YR1_WVU_R1_P68,WVU,1,68,03-01-007,S. purpurea,F,18.59,41.39,26.73,1.33,0.46,2.33,12,101,8.42,6.92,15.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,694.4,54.2,NA
YR1_WVU_R2_P232,WVU,2,232,03-01-007,S. purpurea,F,17.36,35.57,30.20,2.34,0.51,1.30,11,60,5.45,2.62,15.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.5,811.9,57.6,NA
YR1_WVU_R3_P344,WVU,3,344,03-01-007,S. purpurea,F,17.94,36.86,28.82,2.46,0.46,1.67,14,101,7.21,6.12,19.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0,498.4,58.2,NA
YR1_WVU_R4_P439,WVU,4,439,03-01-007,S. purpurea,F,16.91,37.99,29.31,2.30,0.37,1.92,10,86,8.60,5.91,23.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.0,258.4,61.5,NA
YR1_WVU_R5_P646,WVU,5,646,03-01-007,S. purpurea,F,NA,NA,NA,NA,NA,1.70,9,66,7.33,3.99,27.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,64.4,NA
YR1_WVU_R6_P731,WVU,6,731,03-01-007,S. purpurea,F,NA,NA,NA,NA,NA,1.61,7,37,5.29,1.91,23.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47.8,NA
YR1_Geneva_R1_P90,Geneva,1,90,03-01-005,S. purpurea,F,17.13,38.69,28.16,2.13,0.44,2.36,27,225,8.33,16.50,10.75,10.20,0.0842,121.14,0.0083,7.62,1.73,16.03,4.39,0.5,31.4,792.6,38.3,37.2
YR1_Geneva_R2_P223,Geneva,2,223,03-01-005,S. purpurea,F,18.36,36.97,27.42,2.05,0.40,2.40,33,270,8.18,19.43,10.75,10.42,0.0853,122.16,0.0082,7.19,1.78,15.47,4.04,0.55,30.8,714.2,37.5,47.1
YR1_Geneva_R3_P287,Geneva,3,287,03-01-005,S. purpurea,F,18.72,40.80,26.26,1.26,0.39,2.49,31,262,8.45,18.36,11.00,11.70,0.0867,134.95,0.0074,7.88,1.82,16.96,4.34,0.51,27.7,752.7,42.1,29.9
YR1_Geneva_R4_P434,Geneva,4,434,03-01-005,S. purpurea,F,17.12,35.70,29.77,2.40,0.49,1.99,35,241,6.89,13.86,10.75,6.61,0.0645,102.48,0.0098,5.93,1.43,12.58,4.14,0.52,32.0,717.7,39.1,31.2
YR1_Geneva_R5_P566,Geneva,5,566,03-01-005,S. purpurea,F,NA,NA,NA,NA,NA,2.24,21,169,8.05,11.46,10.50,9.72,0.1102,88.20,0.0113,7.12,1.73,15.64,4.1,0.5,28.9,658.6,32.5,40.3
YR1_Geneva_R6_P754,Geneva,6,754,03-01-005,S. purpurea,F,NA,NA,NA,NA,NA,2.05,31,244,7.87,15.96,9.75,12.08,0.1194,101.17,0.0099,8.25,1.85,18.13,4.46,0.46,26.1,609.3,32.3,38.4
YR1_Portland_R1_P74,Portland,1,74,03-01-005,S. purpurea,F,16.86,35.21,30.18,2.35,0.43,2.08,24,167,6.96,9.62,14.75,14.52,0.1103,131.64,0.0076,8.19,2.8,79.98,2.93,0.03,33.2,363.3,46.8,50.3
