SID,Location,Replicate,Plot,Clone,Species,Gender,HEMI,CELL,LIG,ASH,SPGR,HT,SNo,Total diam (mm),SDIA,SA,IL,LFA,LFWT,SLA,LMA,LFL,LFW,LFP,Leaf Factor,Leaf Aspect Ratio,Conductance Temp °C,gs,AugSPAD,SeptSPAD
YR1_WVU_R2_P146,WVU,2,146,05-01-003,S. purpurea,F,17.61,36.46,29.42,2.30,0.44,2.62,20,162,8.10,11.42,19.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.9,475.8,52.3,NA
YR1_WVU_R3_P306,WVU,3,306,05-01-003,S. purpurea,F,18.09,39.14,27.71,2.19,0.40,1.93,20,189,9.45,14.71,11.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.4,781.3,52.5,NA
YR1_WVU_R4_P444,WVU,4,444,05-01-003,S. purpurea,F,19.07,43.11,26.13,1.84,0.46,1.85,10,84,8.40,5.73,15.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.8,244.3,48.8,NA
YR1_WVU_R5_P567,WVU,5,567,05-01-003,S. purpurea,F,NA,NA,NA,NA,NA,1.74,11,107,9.73,8.38,9.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52.8,NA
YR1_WVU_R6_P754,WVU,6,754,05-01-003,S. purpurea,F,NA,NA,NA,NA,NA,2.48,16,140,8.75,10.57,18.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51.7,NA
YR1_Geneva_R1_P15,Geneva,1,15,05-01-002,S. purpurea,F,17.74,37.83,27.51,1.98,0.35,2.18,20,160,8.00,10.71,12.75,9.40,0.1092,86.08,0.0116,7.4,1.56,16.64,4.74,0.43,29.4,748.2,43.0,34.1
YR1_Geneva_R2_P204,Geneva,2,204,05-01-002,S. purpurea,F,17.34,34.72,29.56,3.30,0.46,2.16,18,140,7.78,9.16,10.50,5.79,0.0648,89.35,0.0112,6.23,1.21,13.12,5.16,0.42,27.9,858.3,42.2,26.7
YR1_Geneva_R3_P329,Geneva,3,329,05-01-002,S. purpurea,F,18.19,35.76,28.59,2.87,0.49,2.48,30,223,7.43,14.10,10.00,10.33,0.1027,100.58,0.0099,8.19,1.55,17.37,5.27,0.43,25.2,691.7,40.1,49.5
YR1_Geneva_R4_P420,Geneva,4,420,05-01-002,S. purpurea,F,18.04,36.14,27.88,3.08,0.51,2.51,26,231,8.88,17.54,12.00,13.79,0.1457,94.65,0.0106,9.01,1.88,19.46,4.81,0.46,31.0,777.1,43.5,28.9
YR1_Geneva_R5_P639,Geneva,5,639,05-01-002,S. purpurea,F,NA,NA,NA,NA,NA,2.66,19,161,8.47,12.07,10.00,9.73,0.1066,91.28,0.0110,7.47,1.69,15.95,4.41,0.48,32.6,801.6,44.0,27.9
YR1_Geneva_R6_P776,Geneva,6,776,05-01-002,S. purpurea,F,NA,NA,NA,NA,NA,2.09,20,155,7.75,9.95,9.75,5.52,0.0626,88.18,0.0113,6.19,1.21,13.98,5.13,0.36,26.0,650.7,38.2,32.5
YR1_Portland_R1_P81,Portland,1,81,05-01-002,S. purpurea,F,16.81,34.51,31.57,2.57,0.42,1.77,17,122,7.18,7.37,11.75,11.44,0.0675,169.48,0.0059,7.98,1.88,88.9,4.26,0.02,33.3,408.7,51.7,48.7
YR1_Portland_R2_P228,Portland,2,228,05-01-002,S. purpurea,F,18.87,39.75,28.05,1.51,0.48,0.18,5,15,3.00,0.35,7.25,2.73,0.0194,140.72,0.0071,3.19,1.06,14.95,3.01,0.15,26.0,62.4,48.3,43.0
YR1_Portland_R3_P325,Portland,3,325,05-01-002,S. purpurea,F,19.44,39.72,26.82,1.31,0.46,2.06,14,86,6.14,4.76,12.00,8.19,0.0593,138.11,0.0072,7.56,1.59,36.67,4.74,0.08,31.5,461.5,47.9,38.5
YR1_Portland_R4_P391,Portland,4,391,05-01-002,S. purpurea,F,18.80,40.65,27.36,1.37,0.46,1.71,15,94,6.27,4.98,12.00,4.16,0.0353,117.85,0.0085,5.7,0.97,17.54,5.87,0.17,38.5,420.7,37.9,48.0
YR1_Portland_R5_P594,Portland,5,594,05-01-002,S. purpurea,F,NA,NA,NA,NA,NA,1.61,9,57,6.33,2.91,10.00,5.57,0.0494,112.75,0.0089,5.97,1.17,11.77,5.09,0.51,33.0,942.2,51.7,42.8
YR1_Portland_R6_P778,Portland,6,778,05-01-002,S. purpurea,F,NA,NA,NA,NA,NA,1.97,15,123,8.20,8.49,9.00,8.07,0.0757,106.61,0.0094,6.85,1.46,14.7,4.69,0.47,33.0,788.5,51.3,35.1
YR1_WVU_R1_P6,WVU,1,6,05-01-002,S. purpurea,F,17.38,33.54,30.43,2.62,0.50,2.08,13,117,9.00,8.43,34.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.7,769.0,63.3,NA
YR1_WVU_R2_P183,WVU,2,183,05-01-002,S. purpurea,F,19.30,38.88,27.27,1.96,0.48,1.19,4,29,7.25,1.99,19.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.1,645.9,53.0,NA
YR1_WVU_R3_P288,WVU,3,288,05-01-002,S. purpurea,F,18.15,37.54,28.61,2.39,0.63,2.15,13,116,8.92,8.55,12.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.1,796.7,63.5,NA
YR1_WVU_R4_P489,WVU,4,489,05-01-002,S. purpurea,F,16.40,29.60,32.44,3.51,0.59,0.83,2,6,3.00,0.28,16.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.5,264.3,49.3,NA
YR1_WVU_R5_P619,WVU,5,619,05-01-002,S. purpurea,F,NA,NA,NA,NA,NA,1.41,6,36,6.00,1.70,11.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.5,NA
YR1_WVU_R6_P757,WVU,6,757,05-01-002,S. purpurea,F,NA,NA,NA,NA,NA,1.77,10,85,8.50,5.80,9.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,57.8,NA
YR1_Geneva_R1_P122,Geneva,1,122,05-01-001,S. purpurea,M,16.53,36.16,29.27,2.97,0.42,1.46,10,65,6.50,3.42,12.00,3.59,0.0506,70.95,0.0141,5.18,0.99,9.55,5.25,0.49,31.6,540.3,30.0,26.6
YR1_Geneva_R2_P248,Geneva,2,248,05-01-001,S. purpurea,M,16.28,31.83,32.75,2.31,0.47,2.00,22,147,6.68,8.08,8.50,5.66,0.0575,98.43,0.0102,5.42,1.18,15.91,4.6,0.28,30.5,814.7,35.8,32.3
YR1_Geneva_R3_P380,Geneva,3,380,05-01-001,S. purpurea,M,17.82,40.37,27.16,1.51,0.45,2.02,16,110,6.88,6.24,9.25,6.26,0.0725,86.34,0.0116,6.37,1.2,13.41,5.32,0.44,25.1,398.9,40.1,41.0
YR1_Geneva_R4_P481,Geneva,4,481,05-01-001,S. purpurea,M,17.48,37.60,27.90,2.19,0.41,1.76,15,97,6.47,5.27,8.50,5.20,0.0516,100.78,0.0099,5.99,1.13,12.33,5.32,0.43,32.8,671.1,32.3,31.2
YR1_Geneva_R5_P572,Geneva,5,572,05-01-001,S. purpurea,M,NA,NA,NA,NA,NA,1.84,16,106,6.63,5.67,9.50,7.80,0.058,134.48,0.0074,7.4,1.31,14.35,5.66,0.48,28.2,537.0,30.5,52.4
YR1_Geneva_R6_P711,Geneva,6,711,05-01-001,S. purpurea,M,NA,NA,NA,NA,NA,2.14,20,157,7.85,10.22,9.75,5.27,0.0586,89.93,0.0111,5.84,1.09,12.46,5.38,0.43,28.2,637.4,33.3,42.3
YR1_Portland_R1_P61,Portland,1,61,05-01-001,S. purpurea,M,18.15,38.88,28.59,1.67,0.42,0.61,4,17,4.25,0.59,13.00,6.41,0.0167,383.83,0.0026,6.05,1.38,40.25,4.38,0.05,33.3,226.6,43.3,37.6
YR1_Portland_R2_P215,Portland,2,215,05-01-001,S. purpurea,M,15.97,34.41,32.32,2.19,0.42,0.54,4,18,4.50,0.71,11.00,3.86,0.0443,87.13,0.0115,3.46,1.3,17.64,2.66,0.16,26.0,216.9,34.6,30.6
YR1_Portland_R3_P323,Portland,3,323,05-01-001,S. purpurea,M,17.54,40.22,28.32,1.68,0.50,1.17,8,35,4.38,1.34,11.50,4.55,0.0271,167.90,0.0060,4.36,1.33,43.41,3.29,0.03,31.7,542.1,35.3,30.3
YR1_Portland_R4_P468,Portland,4,468,05-01-001,S. purpurea,M,16.70,34.46,32.19,2.37,0.57,1.38,22,105,4.77,4.23,13.00,3.99,0.0359,111.14,0.0090,4.15,1.12,7.79,3.71,0.83,32.3,511.5,34.7,40.4
YR1_Portland_R5_P625,Portland,5,625,05-01-001,S. purpurea,M,15.97,34.41,32.32,2.19,0.42,0.73,6,28,4.67,1.13,8.00,5.79,0.0502,115.34,0.0087,5.77,1.28,12.14,4.51,0.49,34.3,708.7,52.3,33.3
YR1_Portland_R6_P712,Portland,6,712,05-01-001,S. purpurea,M,NA,NA,NA,NA,NA,0.72,9,34,3.78,1.05,13.00,2.21,0.0201,109.95,0.0091,2.93,0.96,6.05,3.07,0.76,33.7,531.8,41.8,33.7
YR1_WVU_R1_P23,WVU,1,23,05-01-001,S. purpurea,M,15.32,28.97,33.63,3.36,0.49,1.11,4,25,6.25,1.26,16.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.1,413.0,44.2,NA
YR1_WVU_R2_P225,WVU,2,225,05-01-001,S. purpurea,M,16.67,31.04,32.47,3.33,0.42,2.13,36,251,6.97,14.35,11.50,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.0,563.2,49.8,NA
YR1_WVU_R3_P321,WVU,3,321,05-01-001,S. purpurea,M,18.00,37.21,28.81,1.91,0.71,1.88,12,75,6.25,4.12,14.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,535.4,47.7,NA
YR1_WVU_R4_P495,WVU,4,495,05-01-001,S. purpurea,M,17.18,38.34,29.12,2.14,0.47,1.80,7,42,6.00,2.09,16.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,259.8,43.7,NA
YR1_WVU_R5_P532,WVU,5,532,05-01-001,S. purpurea,M,NA,NA,NA,NA,NA,0.71,7,21,3.00,0.53,9.00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42.1,NA
