SID,Location,Replicate,Plot,Clone,Species,Gender,CDIA,CFOR,VPH,FPH,HEMI,CELL,LIG,ASH,SPGR,HT,Sno,Total diam (mm),SDIA,SA,IL,LFA,LFWT,SLA,LMA,LFL,LFW,LFP,Leaf Factor,Leaf Aspect Ratio,Conductance Temp °C,gs,AugSPAD,SeptSPAD,YLD
YR2_WVU_R3_P389,WVU,3,389,07-MBG-5096,S. purpurea,F,29,46.4,115,81,17.5463,42.0626,27.0408,1.9455,0.51,3.10,9,97,10.78,9.18,NA,5.6,0.0591,94.75,0.01055,5.44,1.43,23.45,3.79,0.13,29.2,270.2,NA,40.9,2.34
YR2_WVU_R4_P519,WVU,4,519,07-MBG-5096,S. purpurea,F,52,30.4,108,108,16.8232,38.9332,29.4292,2.0369,0.62,2.04,16,139,8.69,12.20,NA,6.26,0.0675,92.74,0.01078,6.66,1.23,22.29,5.4,0.16,23.8,213.8,NA,38.2,0.62
YR2_WVU_R5_P571,WVU,5,571,07-MBG-5096,S. purpurea,F,8,75.3,108,81,NA,NA,NA,NA,NA,2.53,40,319,7.98,21.50,NA,12.44,0.1036,120.08,0.00833,7.82,2.1,21.3,3.73,0.34,32.2,716.0,NA,NA,3.32
YR2_WVU_R6_P662,WVU,6,662,07-MBG-5096,S. purpurea,F,64,25.5,108,81,NA,NA,NA,NA,NA,2.90,44,405,9.20,33.31,NA,6.87,0.0972,70.68,0.01415,6.31,1.32,17.36,4.78,0.29,33.3,653.3,NA,NA,4.19
YR2_Geneva_R1_P26,Geneva,1,26,07-MBG-5095,S. purpurea,F,38.7,38.2,103,103,18.0943,41.5147,27.1533,2.0263,0.50,3.38,30,310,10.33,28.57,5.25,2.66,0.0259,102.70,0.00974,3.26,0.79,4.7,4.12,1.51,29.9,771.0,43.07,43.40,2.20
YR2_Geneva_R2_P234,Geneva,2,234,07-MBG-5095,S. purpurea,F,29.3,46.1,103,103,17.3946,42.2165,27.2091,2.0046,0.50,3.70,28,283,10.11,24.81,6.80,4.02,0.0416,96.63,0.01035,4.51,1.17,8.88,3.87,0.64,28.6,480.7,37.10,38.20,3.06
YR2_Geneva_R3_P343,Geneva,3,343,07-MBG-5095,S. purpurea,F,32.3,43.3,111,103,18.3259,42.0689,27.0193,1.5811,0.50,3.27,40,373,9.33,30.07,7.10,1.67,0.0277,60.29,0.01659,2.03,1,4.73,2.03,0.94,24.8,391.4,39.27,47.93,2.44
YR2_Geneva_R4_P495,Geneva,4,495,07-MBG-5095,S. purpurea,F,15.5,63.0,111,103,17.6332,42.6072,27.1274,1.7164,0.51,3.51,18,189,10.50,17.85,8.30,2.69,0.0292,92.12,0.01086,3.26,1.01,6.6,3.24,0.78,26.2,694.3,40.77,35.40,3.06
YR2_Geneva_R5_P563,Geneva,5,563,07-MBG-5095,S. purpurea,F,25.2,50.4,111,103,NA,NA,NA,NA,NA,3.17,21,163,7.76,11.16,5.80,2.62,0.0368,71.20,0.01405,2.55,1.19,6.05,2.14,0.9,25.2,529.2,37.73,37.50,1.34
YR2_Geneva_R6_P780,Geneva,6,780,07-MBG-5095,S. purpurea,F,36.7,39.7,111.0,103,NA,NA,NA,NA,NA,2.71,42,403,9.60,37.99,8.00,2.01,0.0256,78.52,0.01274,3.12,0.84,5.82,3.7,0.75,23.1,296.1,47.57,32.70,3.67
YR2_Portland_R1_P85,Portland,1,85,07-MBG-5095,S. purpurea,F,20.8,55.7,NA,NA,17.0308,41.7011,28.4167,1.4869,0.52,2.93,14,119,8.50,9.04,10.25,2.16,0.0343,62.97,0.01588,1.78,1.34,4.5,1.33,1.34,32.4,853.1,37.1,43.0,2.26
YR2_Portland_R2_P187,Portland,2,187,07-MBG-5095,S. purpurea,F,13.4,66.3,NA,NA,17.6643,41.3566,27.7730,1.4165,0.50,2.94,11,103,9.36,8.22,13.50,1.69,0.0202,83.66,0.01195,2.7,0.76,4.92,3.54,0.88,32.6,598.9,53.0,40.0,1.19
YR2_Portland_R3_P316,Portland,3,316,07-MBG-5095,S. purpurea,F,29.0,46.4,NA,NA,17.5067,42.4047,27.6492,1.1767,0.53,2.76,8,66,8.25,4.95,19.00,3.75,0.0542,69.19,0.01445,3.7,1.21,9.08,3.05,0.57,26.4,337.3,48.8,49.8,0.60
