SID,Location,Replicate,Plot,Clone,Species,Gender,CDIA,CFOR,VPH,FPH,HEMI,CELL,LIG,ASH,SPGR,HT,Sno,Total diam (mm),SDIA,SA,IL,LFA,LFWT,SLA,LMA,LFL,LFW,LFP,Leaf Factor,Leaf Aspect Ratio,Conductance Temp °C,gs,AugSPAD,SeptSPAD,YLD
YR2_WVU_R4_P518,WVU,4,518,03-01-024,S. purpurea,M,38,38.7,108,57,16.9929,40.3765,28.2035,2.6390,0.57,2.36,13,166,12.77,17.75,NA,9.25,0.1132,81.71,0.01224,6.65,1.76,23.04,3.79,0.22,23.9,160.5,NA,50.2,0.94
YR2_WVU_R5_P544,WVU,5,544,03-01-024,S. purpurea,M,10,71.8,102,74,NA,NA,NA,NA,NA,2.65,17,152,8.94,11.92,NA,18.92,0.2163,87.47,0.01143,9.24,2.72,43.05,3.39,0.13,31.0,551.9,NA,NA,1.76
YR2_WVU_R6_P726,WVU,6,726,03-01-024,S. purpurea,M,9,73.5,108,81,NA,NA,NA,NA,NA,2.69,18,197,10.94,19.50,NA,22.16,0.1994,111.13,0.00900,9.47,2.95,21.28,3.21,0.61,32.2,657.2,NA,NA,2.34
YR2_Geneva_R1_P125,Geneva,1,125,03-01-023,S. purpurea,F,26.9,48.6,111,103,19.0965,43.7876,25.3400,1.1594,0.47,4.15,20,267,13.35,35.12,21.45,5.79,0.061,94.92,0.01054,5.86,1.29,12.77,4.53,0.45,28.3,545.3,35.43,35.37,2.84
YR2_Geneva_R2_P224,Geneva,2,224,03-01-023,S. purpurea,F,30.1,45.4,111,103,19.4767,43.1263,25.3940,1.2764,0.48,4.25,32,332,10.38,32.64,8.15,6.52,0.0613,106.36,0.00940,6.32,1.38,12.5,4.57,0.52,28.5,547.2,40.23,39.63,4.44
YR2_Geneva_R3_P269,Geneva,3,269,03-01-023,S. purpurea,F,24.9,50.8,111,103,18.5627,44.4581,25.3984,1.3192,0.49,4.00,17,245,14.41,31.05,12.95,9.9,0.1101,89.92,0.01112,7.32,1.55,17.02,4.73,0.43,28.5,605.4,44.03,31.43,4.81
YR2_Geneva_R4_P443,Geneva,4,443,03-01-023,S. purpurea,F,29.6,45.8,111,103,19.2860,43.3706,25.7344,1.3447,0.47,4.73,35,370,10.57,38.85,7.15,5.27,0.0601,87.69,0.01140,5.71,1.18,12.02,4.84,0.46,25.9,372.0,46.87,31.90,5.55
YR2_Geneva_R5_P649,Geneva,5,649,03-01-023,S. purpurea,F,33.5,42.3,111,103,NA,NA,NA,NA,NA,4.46,48,456,9.50,42.80,10.00,6.31,0.0759,83.14,0.01203,6.53,1.27,12.94,5.12,0.47,27.9,436.8,47.63,43.50,5.68
YR2_Geneva_R6_P703,Geneva,6,703,03-01-023,S. purpurea,F,23.5,52.4,111.0,103,NA,NA,NA,NA,NA,4.53,29,342,11.79,39.66,8.50,11.73,0.117,100.26,0.00997,8.81,1.7,16.59,5.18,0.54,22.9,251.5,45.97,46.67,6.29
YR2_Portland_R1_P80,Portland,1,80,03-01-023,S. purpurea,F,27.0,48.5,NA,NA,16.7236,42.1801,28.0907,1.5750,0.49,3.66,9,98,10.89,8.89,13.75,3.8,0.0537,70.76,0.01413,3.13,1.44,8.22,2.17,0.71,32.7,610.6,43.6,45.2,2.42
YR2_Portland_R2_P232,Portland,2,232,03-01-023,S. purpurea,F,7.7,75.8,NA,NA,17.2241,42.9500,27.2548,1.2188,0.48,3.41,4,39,9.75,3.29,20.00,11.6,0.1048,110.69,0.00903,8.99,1.59,47.87,5.66,0.06,33.1,233.5,55.4,42.8,0.85
YR2_Portland_R3_P263,Portland,3,263,03-01-023,S. purpurea,F,35.6,40.6,NA,NA,17.3160,42.9499,26.8705,1.4009,0.48,3.46,35,392,11.20,37.95,11.50,8.71,0.101,86.24,0.01160,9,1.31,17.16,6.89,0.37,24.6,234.0,47.0,51.6,5.93
YR2_Portland_R4_P455,Portland,4,455,03-01-023,S. purpurea,F,44.9,34.2,NA,NA,17.3607,43.0948,26.8705,1.3104,0.47,4.19,26,306,11.77,32.77,14.50,12.21,0.1439,84.85,0.01179,8.93,1.64,19.03,5.46,0.42,29.4,272.4,48.9,45.8,6.30
YR2_Portland_R5_P598,Portland,5,598,03-01-023,S. purpurea,F,21.0,55.4,NA,NA,NA,NA,NA,NA,NA,3.81,23,225,9.78,20.05,14.50,7.6,0.1106,68.72,0.01455,6.07,5.87,13.29,1.03,0.54,30.7,313.5,42.0,46.6,4.48
YR2_Portland_R6_P674,Portland,6,674,03-01-023,S. purpurea,F,31.5,44.1,NA,NA,NA,NA,NA,NA,NA,4.00,19,225,11.84,23.70,18.00,13.03,0.1524,85.50,0.01170,9.52,1.77,18.13,5.38,0.5,29.7,361.7,33.9,44.1,4.72
YR2_WVU_R1_P81,WVU,1,81,03-01-023,S. purpurea,F,13,66.9,115,81,17.1233,42.4779,27.4754,1.1653,0.48,3.78,36,379,10.53,32.81,NA,8.1,0.0925,87.57,0.01142,7.45,1.37,15.68,5.45,0.41,33.4,541.5,NA,34.5,4.33
YR2_WVU_R2_P251,WVU,2,251,03-01-023,S. purpurea,F,38,38.7,115,81,18.4028,42.8339,26.3948,1.3064,0.41,4.33,48,512,10.67,47.31,NA,14.91,0.1498,99.53,0.01005,11.28,1.78,45.88,6.33,0.09,28.9,162.0,NA,36.1,6.73
YR2_WVU_R3_P281,WVU,3,281,03-01-023,S. purpurea,F,30,45.5,108,102,17.0187,42.3450,27.1855,2.3614,0.46,4.81,30,343,11.43,35.10,NA,11.09,0.1147,96.69,0.01034,9.41,1.53,43.53,6.16,0.07,32.1,510.8,NA,42.8,6.13
YR2_WVU_R4_P392,WVU,4,392,03-01-023,S. purpurea,F,43,35.3,108,74,17.2786,44.1930,25.9293,1.5913,0.51,3.27,11,127,11.55,12.76,NA,12.04,0.1263,95.33,0.01049,8.55,1.8,41.43,4.75,0.09,31.9,737.6,NA,46.5,2.16
YR2_WVU_R5_P545,WVU,5,545,03-01-023,S. purpurea,F,21,55.4,108,81,NA,NA,NA,NA,NA,3.27,30,281,9.37,22.89,NA,12.22,0.1315,92.93,0.01076,8.89,1.8,37.7,4.93,0.11,31.0,448.4,NA,NA,2.77
YR2_WVU_R6_P696,WVU,6,696,03-01-023,S. purpurea,F,54,29.4,108,81,NA,NA,NA,NA,NA,4.32,46,606,13.17,68.36,NA,14.14,0.1036,136.49,0.00733,9.31,1.82,23.67,5.11,0.32,32.9,483.9,NA,NA,7.33
YR2_Geneva_R1_P28,Geneva,1,28,03-01-022,S. purpurea,M,18.1,59.3,111,103,17.6565,40.5812,26.9732,2.4214,0.45,2.76,17,182,10.71,16.93,19.15,5.52,0.0564,97.87,0.01022,4.65,1.55,10.46,3.01,0.63,29.6,733.2,39.93,26.83,2.11
YR2_Geneva_R2_P194,Geneva,2,194,03-01-022,S. purpurea,M,31.5,44.1,111,103,18.2308,40.8666,26.1619,2.2923,0.41,3.72,27,241,8.93,19.55,9.05,10.42,0.1263,82.50,0.01212,6.75,2.04,15.09,3.31,0.58,29.4,565.3,39.77,38.87,5.40
YR2_Geneva_R3_P338,Geneva,3,338,03-01-022,S. purpurea,M,41.6,36.2,111,91,17.4744,42.5845,26.9212,1.8704,0.44,3.53,45,476,10.58,47.67,8.70,7.49,0.0662,113.14,0.00884,5.02,6.68,18.58,0.75,0.27,26.5,454.0,41.83,38.93,3.52
YR2_Geneva_R4_P482,Geneva,4,482,03-01-022,S. purpurea,M,36.3,40.0,111,103,18.0583,39.9745,27.1601,2.0070,0.44,3.86,51,566,11.10,56.97,7.30,9.99,0.1126,88.72,0.01127,6.24,2.08,14.41,3.01,0.6,28.0,671.9,42.20,24.87,5.63
YR2_Geneva_R5_P605,Geneva,5,605,03-01-022,S. purpurea,M,39.9,37.4,111,103,NA,NA,NA,NA,NA,3.70,41,420,10.24,40.26,9.30,10.66,0.1051,101.43,0.00986,6.99,1.96,14.29,3.56,0.66,29.1,517.3,41.90,38.70,5.04
YR2_Geneva_R6_P735,Geneva,6,735,03-01-022,S. purpurea,M,32.6,43.1,111.0,103,NA,NA,NA,NA,NA,3.55,47,519,11.04,51.45,7.90,7.86,0.1034,76.02,0.01316,5.95,1.7,12.43,3.5,0.64,26.7,432.3,42.83,43.27,6.45
YR2_Portland_R1_P127,Portland,1,127,03-01-022,S. purpurea,M,27.8,47.6,NA,NA,17.1260,42.1836,27.5793,1.4086,0.45,3.55,12,148,12.33,17.92,15.25,6.65,0.0807,82.40,0.01214,6.07,1.44,17.16,4.22,0.28,33.6,612.9,53.6,46.3,4.98
YR2_Portland_R2_P168,Portland,2,168,03-01-022,S. purpurea,M,12.4,67.9,NA,NA,17.7135,40.4789,27.8050,1.4327,0.47,2.71,7,71,10.14,5.90,23.00,15.08,0.1205,125.15,0.00799,10.32,1.96,17.34,5.28,0.63,33.2,672.0,46.9,44.6,1.39
YR2_Portland_R3_P310,Portland,3,310,03-01-022,S. purpurea,M,14.0,65.3,NA,NA,17.5967,39.8478,28.7647,1.5125,0.46,3.12,11,106,9.64,8.81,18.00,14.56,0.1422,102.39,0.00977,9.11,2.03,18.9,4.49,0.51,26.4,396.3,41.7,45.5,2.32
YR2_Portland_R4_P439,Portland,4,439,03-01-022,S. purpurea,M,54.2,29.4,NA,NA,17.8626,40.1324,27.9252,1.4320,0.46,3.04,30,380,12.67,39.57,15.50,9.78,0.1204,81.23,0.01231,6.42,1.82,14.43,3.52,0.59,29.5,377.5,48.0,47.9,2.89
YR2_Portland_R5_P534,Portland,5,534,03-01-022,S. purpurea,M,22.7,53.3,NA,NA,NA,NA,NA,NA,NA,3.48,31,359,11.58,36.42,19.50,8.5,0.1145,74.24,0.01347,5.75,1.84,13.17,3.12,0.62,31.8,431.1,43.8,49.5,4.28
YR2_Portland_R6_P761,Portland,6,761,03-01-022,S. purpurea,M,41.0,36.6,NA,NA,NA,NA,NA,NA,NA,3.04,28,318,11.36,30.24,20.50,16.73,0.1844,90.73,0.01102,9.05,2.4,18.65,3.77,0.6,26.2,306.8,48.4,44.9,1.51
YR2_WVU_R1_P78,WVU,1,78,03-01-022,S. purpurea,M,24,51.8,115,81,17.9888,40.4866,26.6562,1.4989,0.45,2.96,32,290,9.06,22.02,NA,12.38,0.1434,86.33,0.01158,7.46,2.03,16.6,3.68,0.56,34.7,670.7,NA,37.6,2.51
YR2_WVU_R2_P137,WVU,2,137,03-01-022,S. purpurea,M,35,41.1,115,102,16.8598,38.9433,27.9263,1.6353,0.39,2.67,16,129,8.06,8.68,NA,7.52,0.1011,74.38,0.01344,5.21,1.71,13.49,3.04,0.52,32.3,673.2,NA,37.2,2.83
YR2_WVU_R3_P304,WVU,3,304,03-01-022,S. purpurea,M,29,46.4,115,74,17.6245,41.7472,27.2228,1.4005,0.45,3.63,23,289,12.57,30.94,NA,11.81,0.1113,106.11,0.00942,7.41,2.01,30.96,3.69,0.15,32.5,624.2,NA,39.3,5.23
YR2_WVU_R4_P461,WVU,4,461,03-01-022,S. purpurea,M,6,78.9,108,81,17.3247,41.5674,27.5036,1.3639,0.47,3.05,13,140,10.77,13.19,NA,14.17,0.1689,83.90,0.01192,7.96,2.12,27.83,3.76,0.23,27.1,502.6,NA,43.1,0.65
YR2_WVU_R5_P615,WVU,5,615,03-01-022,S. purpurea,M,34,41.9,108,81,NA,NA,NA,NA,NA,3.17,21,251,11.95,25.41,NA,15.03,0.1497,100.40,0.00996,7.97,2.26,25.07,3.52,0.3,31.9,587.4,NA,NA,5.99
YR2_WVU_R6_P710,WVU,6,710,03-01-022,S. purpurea,M,13,66.9,108,81,NA,NA,NA,NA,NA,3.46,13,146,11.23,15.47,NA,11.01,0.1609,68.43,0.01461,8.5,1.61,18.22,5.26,0.42,31.1,385.4,NA,NA,2.29
YR2_Geneva_R1_P44,Geneva,1,44,03-01-020,S. purpurea,F,20.7,55.8,111,111,17.7246,42.1770,26.5060,2.0461,0.50,2.59,17,161,9.47,13.23,9.30,6.77,0.0699,96.85,0.01032,7.1,1.19,11.64,5.99,0.63,27.3,456.1,40.03,30.87,1.26
YR2_Geneva_R2_P136,Geneva,2,136,03-01-020,S. purpurea,F,26.5,49.0,111,103,18.4206,43.2106,25.7780,1.5538,0.48,3.02,24,164,6.83,10.78,10.55,4.5,0.0531,84.75,0.01180,4.03,1.3,10.13,3.1,0.55,31.2,379.9,45.23,42.90,0.88
YR2_Geneva_R3_P265,Geneva,3,265,03-01-020,S. purpurea,F,21.8,54.4,111,111,17.6565,42.1480,26.9321,1.8893,0.49,3.19,22,209,9.50,18.10,13.85,9.73,0.1115,87.26,0.01146,5.88,2.2,14.09,2.67,0.62,29.8,636.3,43.83,37.73,1.51
YR2_Geneva_R4_P407,Geneva,4,407,03-01-020,S. purpurea,F,21.6,54.7,111,111,18.2882,42.2067,26.5358,1.5810,0.48,3.51,25,236,9.44,21.22,13.40,10,0.1001,99.90,0.01001,8.14,1.51,16.4,5.38,0.47,28.7,449.2,37.90,35.90,1.89
YR2_Geneva_R5_P591,Geneva,5,591,03-01-020,S. purpurea,F,30.7,44.8,111,111,NA,NA,NA,NA,NA,2.78,24,199,8.29,15.17,9.90,8.3,0.0922,90.02,0.01111,6.99,1.49,12,4.69,0.72,28.0,498.8,38.20,31.77,1.64
YR2_Geneva_R6_P692,Geneva,6,692,03-01-020,S. purpurea,F,22.6,53.4,111.0,103,NA,NA,NA,NA,NA,3.44,18,177,9.83,17.71,10.45,8.48,0.1204,70.43,0.01420,6.27,1.69,11.92,3.71,0.75,21.8,199.9,42.80,41.57,2.52
YR2_Portland_R1_P79,Portland,1,79,03-01-020,S. purpurea,F,10.4,71.2,NA,NA,16.9013,43.2708,27.5923,1.1654,0.51,3.13,7,54,7.71,3.75,17.50,15.06,0.1291,116.65,0.00857,10.38,1.8,55.8,5.76,0.06,32.0,687.4,46.3,48.5,0.48
YR2_Portland_R2_P145,Portland,2,145,03-01-020,S. purpurea,F,15.2,63.5,NA,NA,17.2428,41.4584,28.1841,1.0456,0.50,3.08,11,87,7.91,6.17,23.00,16.81,0.1436,117.06,0.00854,13.44,1.74,21.6,7.71,0.45,32.6,701.8,49.5,54.6,0.48
YR2_Portland_R3_P261,Portland,3,261,03-01-020,S. purpurea,F,32.8,42.9,NA,NA,17.0947,42.1068,27.4369,1.5498,0.49,2.16,12,94,7.83,5.92,18.75,4.57,0.0632,72.31,0.01383,4.77,1.26,9.57,3.77,0.63,23.7,190.6,52.3,43.0,0.85
YR2_Portland_R4_P454,Portland,4,454,03-01-020,S. purpurea,F,27.0,48.5,NA,NA,17.2317,42.0914,27.6188,1.3524,0.51,3.17,14,134,9.57,10.82,16.50,13.36,0.1656,80.68,0.01240,7.89,2.16,17.8,3.65,0.53,29.3,226.1,52.2,50.2,0.72
YR2_Portland_R5_P590,Portland,5,590,03-01-020,S. purpurea,F,22.9,53.1,NA,NA,NA,NA,NA,NA,NA,2.86,13,106,8.15,7.74,32.00,14.2,0.169,84.02,0.01190,9.45,1.9,20.36,4.98,0.43,29.6,470.2,41.2,52.2,0.72
YR2_Portland_R6_P766,Portland,6,766,03-01-020,S. purpurea,F,13.2,66.6,NA,NA,NA,NA,NA,NA,NA,2.51,14,120,8.57,9.74,28.50,13.65,0.1467,93.05,0.01075,9.27,1.98,19.15,4.67,0.47,25.8,344.2,50.1,51.6,0.48
YR2_WVU_R1_P70,WVU,1,70,03-01-020,S. purpurea,F,10.5,71.0,115,115,18.2843,43.3963,25.9237,0.9363,0.50,2.87,6,49,8.17,3.73,NA,14.23,0.1669,85.26,0.01173,9.09,1.87,19.31,4.87,0.48,35.4,699.7,NA,34.4,0.59
YR2_WVU_R2_P217,WVU,2,217,03-01-020,S. purpurea,F,23,53.0,115,102,17.5902,41.7808,27.2446,1.3914,0.45,3.22,25,236,9.44,18.74,NA,11.81,0.1305,90.50,0.01105,8.42,1.8,22.63,4.67,0.29,29.8,585.3,NA,40.4,1.89
YR2_WVU_R3_P287,WVU,3,287,03-01-020,S. purpurea,F,45,34.1,115,115,17.8294,39.1786,29.6342,1.6069,0.41,3.71,20,204,10.20,18.57,NA,26.31,0.2915,90.26,0.01108,13.04,2.46,50.36,5.29,0.13,31.4,538.0,NA,42.4,1.89
YR2_WVU_R4_P468,WVU,4,468,03-01-020,S. purpurea,F,20,56.7,108,102,16.7425,41.8711,27.3407,2.1451,0.47,3.05,14,134,9.57,10.37,NA,11.34,0.1216,93.26,0.01072,8.3,1.73,24.78,4.79,0.23,26.3,205.0,NA,38.3,1.30
YR2_WVU_R5_P547,WVU,5,547,03-01-020,S. purpurea,F,19,58.1,115,108,NA,NA,NA,NA,NA,2.52,8,58,7.25,3.82,NA,14.17,0.1416,100.07,0.00999,8.73,2,25.53,4.37,0.27,31.3,708.4,NA,NA,0.59
YR2_WVU_R6_P713,WVU,6,713,03-01-020,S. purpurea,F,33,42.7,115,115,NA,NA,NA,NA,NA,3.36,11,108,9.82,9.66,NA,19.17,0.1432,133.87,0.00747,10.11,2.41,32.59,4.19,0.23,30.6,346.1,NA,NA,2.96
YR2_Geneva_R1_P92,Geneva,1,92,03-01-019,S. purpurea,F,27.7,47.7,111,103,18.4807,42.9978,26.0428,1.3988,0.49,3.37,18,191,10.61,17.98,8.25,10.31,0.1056,97.63,0.01024,7.54,1.79,16.48,4.22,0.48,29.6,598.9,41.00,22.97,2.58
YR2_Geneva_R2_P169,Geneva,2,169,03-01-019,S. purpurea,F,30.7,44.8,118,103,17.6014,42.0622,26.9157,1.6936,0.52,3.57,44,427,9.70,37.41,7.25,6.81,0.0928,73.38,0.01363,6.17,1.49,13.46,4.13,0.47,29.5,450.8,52.77,35.90,4.30
YR2_Geneva_R3_P372,Geneva,3,372,03-01-019,S. purpurea,F,18.2,59.2,118,103,18.3842,43.7703,26.1550,1.0671,0.49,3.63,17,189,11.12,18.64,8.80,8.18,0.0961,85.12,0.01175,6.57,1.62,14.6,4.05,0.48,26.4,316.1,42.67,34.63,2.82
YR2_Geneva_R4_P417,Geneva,4,417,03-01-019,S. purpurea,F,29.6,45.8,118,103,18.0452,41.4286,27.0444,1.6679,0.51,3.88,31,363,11.71,37.97,9.20,14.57,0.1198,121.62,0.00822,8.43,2.35,20.75,3.59,0.43,26.8,319.1,44.67,42.20,4.54
YR2_Geneva_R5_P635,Geneva,5,635,03-01-019,S. purpurea,F,30.4,45.1,118,103,NA,NA,NA,NA,NA,3.99,30,285,9.50,25.05,8.85,15.39,0.1641,93.78,0.01066,8.98,2.39,19.57,3.75,0.51,30.4,366.7,48.87,35.63,4.30
YR2_Geneva_R6_P684,Geneva,6,684,03-01-019,S. purpurea,F,21.1,55.3,111.0,111,NA,NA,NA,NA,NA,3.49,14,176,12.57,18.44,6.95,10.32,0.1219,84.66,0.01181,6.91,1.94,13.25,3.57,0.74,22.4,185.8,47.23,45.20,5.65
YR2_Portland_R1_P76,Portland,1,76,03-01-019,S. purpurea,F,15.5,63.0,NA,NA,16.7021,42.0792,28.4038,1.1626,0.51,3.10,10,92,9.20,7.19,19.00,10.9,0.1129,96.55,0.01036,6.46,2.08,14.04,3.1,0.69,32.5,639.7,54.1,51.6,1.30
YR2_Portland_R2_P178,Portland,2,178,03-01-019,S. purpurea,F,15.0,63.8,NA,NA,16.8896,40.6264,28.5701,1.4433,0.52,3.24,15,153,10.20,13.08,25.25,15.84,0.2054,77.12,0.01297,9.75,2.23,22.37,4.38,0.4,33.3,268.7,45.5,51.4,1.54
YR2_Portland_R3_P296,Portland,3,296,03-01-019,S. purpurea,F,19.0,58.1,NA,NA,16.9910,41.7793,28.2265,1.3041,0.54,2.85,17,139,8.18,9.75,28.00,10.36,0.1018,101.77,0.00983,7.55,1.71,16.67,4.4,0.47,26.5,340.8,42.7,45.9,1.07
YR2_Portland_R4_P446,Portland,4,446,03-01-019,S. purpurea,F,22.6,53.4,NA,NA,17.4055,41.4491,27.9576,1.0090,0.54,3.18,14,133,9.50,10.63,24.00,12.4,0.1447,85.69,0.01167,7.17,2.21,16.78,3.24,0.55,29.3,418.4,49.5,49.5,1.19
YR2_Portland_R5_P583,Portland,5,583,03-01-019,S. purpurea,F,20.5,56.1,NA,NA,NA,NA,NA,NA,NA,3.60,13,138,10.62,12.74,18.50,11.65,0.1365,85.35,0.01172,7.66,1.94,17.16,3.94,0.5,30.2,372.2,47.2,42.2,2.73
YR2_Portland_R6_P669,Portland,6,669,03-01-019,S. purpurea,F,30.0,45.5,NA,NA,NA,NA,NA,NA,NA,3.48,18,194,10.78,17.86,18.00,22.04,0.257,85.76,0.01166,11.17,2.77,23.81,4.03,0.49,30.0,467.1,46.0,64.8,2.49
YR2_WVU_R1_P65,WVU,1,65,03-01-019,S. purpurea,F,22,54.2,115,102,17.4515,42.7911,26.2178,1.4900,0.49,3.14,NA,NA,#VALUE!,NA,NA,12.26,0.1492,82.17,0.01217,7.96,1.9,16.11,4.18,0.59,33.5,746.6,NA,47.4,1.20
YR2_WVU_R2_P139,WVU,2,139,03-01-019,S. purpurea,F,32,43.6,115,102,16.9898,38.3800,29.2603,2.1874,0.57,3.30,20,164,8.20,12.80,NA,11.44,0.1593,71.81,0.01392,7.68,1.8,28.1,4.27,0.18,32.7,609.5,NA,41.1,2.18
YR2_WVU_R3_P295,WVU,3,295,03-01-019,S. purpurea,F,21,55.4,115,57,17.4389,40.8531,27.7895,1.3067,0.50,2.83,15,135,9.00,10.88,NA,9.64,0.1058,91.12,0.01098,7.52,2.66,32.7,2.83,0.11,32.1,780.3,NA,38.0,1.31
YR2_WVU_R4_P422,WVU,4,422,03-01-019,S. purpurea,F,20,56.7,115,115,17.0050,39.8833,28.4982,2.5372,0.52,2.21,10,73,7.30,4.88,NA,11.6,0.1351,85.86,0.01165,7.92,1.92,32.92,4.13,0.13,30.7,594.0,NA,37.0,0.65
YR2_WVU_R5_P528,WVU,5,528,03-01-019,S. purpurea,F,22,54.2,108,102,NA,NA,NA,NA,NA,2.82,19,163,8.58,11.96,NA,13.74,0.1546,88.87,0.01125,7.26,2.36,19.95,3.08,0.43,29.5,573.7,NA,NA,0.98
YR2_WVU_R6_P701,WVU,6,701,03-01-019,S. purpurea,F,4,82.5,108,102,NA,NA,NA,NA,NA,2.16,4,35,8.75,2.46,NA,10.91,0.1168,93.41,0.01071,7.51,1.71,19.86,4.38,0.35,33.1,769.5,NA,NA,0.76
YR2_Geneva_R1_P109,Geneva,1,109,03-01-017,S. purpurea,F,36,40.3,111,103,18.5006,40.9573,25.7963,2.4139,0.44,3.95,48,456,9.50,42.40,18.10,4.78,0.0644,74.22,0.01347,4.64,1.45,10.03,3.2,0.6,30.0,485.4,50.83,32.20,5.54
YR2_Geneva_R2_P157,Geneva,2,157,03-01-017,S. purpurea,F,34.3,41.6,103,103,18.3717,42.0327,26.0228,1.6233,0.41,4.20,45,430,9.56,39.47,20.55,4.91,0.0429,114.45,0.00874,5.55,1.17,10.9,4.75,0.52,31.0,580.2,51.53,39.77,5.42
YR2_Geneva_R3_P367,Geneva,3,367,03-01-017,S. purpurea,F,25.6,50.0,111,111,18.2793,42.8650,25.7953,1.6879,0.43,3.73,21,227,10.81,24.34,13.10,7.61,0.0969,78.53,0.01273,6.27,1.49,13.7,4.21,0.51,25.7,510.3,38.43,57.50,4.09
YR2_Geneva_R4_P437,Geneva,4,437,03-01-017,S. purpurea,F,34.2,41.7,111,103,19.3224,41.4815,25.6666,1.5661,0.42,4.22,38,460,12.11,56.11,10.05,7.37,0.0933,78.99,0.01266,6.79,1.41,13.56,4.81,0.5,27.5,487.6,51.47,43.30,5.90
YR2_Geneva_R5_P540,Geneva,5,540,03-01-017,S. purpurea,F,39,38.0,111,103,NA,NA,NA,NA,NA,3.27,49,462,9.43,40.20,11.65,8.2,0.1146,71.55,0.01398,6.61,1.56,13.73,4.25,0.55,26.5,447.2,53.67,53.77,5.06
YR2_Geneva_R6_P683,Geneva,6,683,03-01-017,S. purpurea,F,28,47.4,111.0,103,NA,NA,NA,NA,NA,4.36,29,370,12.76,44.52,16.35,9.31,0.1129,82.46,0.01213,7.05,1.7,13.8,4.15,0.61,22.1,208.4,55.60,40.60,9.39
YR2_Portland_R1_P43,Portland,1,43,03-01-017,S. purpurea,F,21.1,55.3,NA,NA,17.2157,43.2604,27.0315,1.1710,0.46,3.08,19,184,9.68,15.61,19.50,9.09,0.0989,91.91,0.01088,6.6,1.65,14.98,4,0.51,32.4,586.3,54.4,57.8,2.63
YR2_Portland_R2_P249,Portland,2,249,03-01-017,S. purpurea,F,36.6,39.8,NA,NA,17.9924,39.4321,28.2315,1.4676,0.45,3.31,18,207,11.50,20.48,16.00,16.19,0.1526,106.09,0.00943,10.07,2.08,48.01,4.85,0.09,30.9,480.2,69.9,56.4,1.79
YR2_Portland_R3_P268,Portland,3,268,03-01-017,S. purpurea,F,18.3,59.0,NA,NA,17.4676,40.1756,28.0160,1.6625,0.54,3.02,6,60,10.00,5.31,19.25,6.75,0.098,68.88,0.01452,5.5,1.57,11.6,3.49,0.63,25.1,214.6,51.9,54.8,0.84
YR2_Portland_R4_P517,Portland,4,517,03-01-017,S. purpurea,F,16.3,61.9,NA,NA,17.8216,43.1802,26.2806,1.1635,0.43,4.10,21,257,12.24,30.94,19.50,7.89,0.0659,119.73,0.00835,5.89,1.7,13.3,3.46,0.56,28.9,248.7,39.1,35.4,4.18
YR2_Portland_R5_P623,Portland,5,623,03-01-017,S. purpurea,F,15.5,63.0,NA,NA,NA,NA,NA,NA,NA,3.19,28,257,9.18,21.03,27.50,11.2,0.1286,87.09,0.01148,7.04,1.98,16.27,3.57,0.53,29.6,428.0,53.3,48.4,2.15
YR2_Portland_R6_P717,Portland,6,717,03-01-017,S. purpurea,F,23.1,52.8,NA,NA,NA,NA,NA,NA,NA,3.59,24,240,10.00,22.09,22.50,9.39,0.1152,81.51,0.01227,7.46,1.82,15.85,4.09,0.47,27.6,404.3,55.7,51.1,2.51
YR2_WVU_R1_P126,WVU,1,126,03-01-017,S. purpurea,F,39,38.0,115,102,17.6212,42.8367,26.4919,1.6545,0.43,3.66,34,417,12.26,46.39,NA,16.01,0.1848,86.63,0.01154,8.99,4.97,44.84,1.81,0.1,28.5,256.6,NA,43.0,7.08
YR2_WVU_R2_P197,WVU,2,197,03-01-017,S. purpurea,F,25,50.6,108,81,17.4277,42.7815,26.6179,1.4873,0.47,4.11,23,265,11.52,28.39,NA,11.38,0.1315,86.54,0.01156,9.37,1.65,21.99,5.69,0.3,33.9,647.3,NA,34.8,2.96
YR2_WVU_R3_P360,WVU,3,360,03-01-017,S. purpurea,F,26,49.5,115,102,17.8515,42.6625,26.5120,1.4036,0.45,3.80,22,267,12.14,29.08,NA,13.61,0.1749,77.82,0.01285,9.17,1.9,22.83,4.82,0.33,30.4,552.7,NA,41.5,2.96
YR2_WVU_R4_P418,WVU,4,418,03-01-017,S. purpurea,F,42,36.0,108,81,18.8249,43.4608,25.5077,1.3139,0.45,4.76,29,365,12.59,45.77,NA,9.86,0.1221,80.75,0.01238,7.43,1.82,29.69,4.08,0.14,29.4,488.6,NA,32.0,6.34
YR2_WVU_R5_P521,WVU,5,521,03-01-017,S. purpurea,F,31,44.5,108,81,NA,NA,NA,NA,NA,3.49,20,200,10.00,17.29,NA,12.79,0.1584,80.74,0.01238,8.69,2.04,40.07,4.27,0.1,25.6,362.8,NA,NA,4.44
YR2_WVU_R6_P738,WVU,6,738,03-01-017,S. purpurea,F,16,62.3,108,81,NA,NA,NA,NA,NA,3.91,26,280,10.77,26.78,NA,12.36,0.1576,78.43,0.01275,8.95,1.64,18.92,5.45,0.43,30.2,313.7,NA,NA,5.18
