REP,COL,ROW,PLOT,FAMILY,DAM,SIRE,TYPE,CLONE,SEX,STC.Y0,HT,HCL,CLS,LIG,ASH,CDIA,FORM,STN,SDIA,SA,LFW,LA,LFL,LFWT,LFP,SLA,SPAD1,RUST
1,4,132,957,317,9882-41,9882-34,progeny,11X-317-297,F,2,330,19.72401956,40.77759469,24.52461801,1.294015497,25.9,49.64419504,11,9.727272727,8.631525816,0.1092,16.69,9.32,2.44,40.38,152.8388278,47.4,0.13
1,4,133,958,317,9882-41,9882-34,progeny,11X-317-127,F,1,365,19.36558876,40.24459969,25.00998776,1.780119553,33.7,42.12779925,33,9.878787879,27.33185609,0.1272,18.7,11.25,2.14,36.94,147.0125786,56.4,0.11
1,4,134,959,317,9882-41,9882-34,progeny,10X-317-114,F,1,346,21.80403249,41.73593468,23.95883057,1.172650188,25.8,49.75353127,22,8.363636364,13.39889267,0.1243,18.48,9.94,2.32,32.08,148.6725664,54.2,0.001
1,4,139,964,82,94006,94001,progeny,12X-082-052,F,2,288,18.69830645,40.21202469,25.69514348,1.667688762,29,46.42535743,12,11,11.89092819,0.1184,20.5,11.74,2.31,30.4,173.1418919,55.7,NA
1,4,141,966,82,94006,94001,progeny,12X-082-061,F,2,343,19.34495665,40.47501071,25.43640629,1.36904032,27.6,47.83878784,8,10,6.738716242,0.1539,20.36,11.91,2.18,26.2,132.2936972,42.1,NA
1,4,144,969,317,9882-41,9882-34,progeny,11X-317-271,F,1,305,18.5938089,39.75758376,26.14126699,1.628555505,24.3,51.43660282,27,8.444444444,16.4619455,0.1238,17.25,9.51,2.13,20.28,139.3376414,45.3,0.01
1,4,146,971,317,9882-41,9882-34,progeny,11X-317-041,M,1,344,17.58909059,40.27364557,26.75961078,2.18770734,26,49.53521226,14,7.428571429,6.613052536,0.085,11.1,8.28,1.71,16.99,130.5882353,52.7,0.02
1,4,147,972,317,9882-41,9882-34,progeny,11X-317-181,F,2,325,18.31828155,40.93044929,26.00782547,1.571553839,30.8,44.70080805,37,8.378378378,22.28959988,0.0868,12.52,7.36,2.06,17.54,144.2396313,48,0.04
1,4,148,973,317,9882-41,9882-34,progeny,11X-317-151,F,2,253,18.13527281,38.64075398,26.85555326,2.028114189,30.7,44.79396834,14,8.857142857,10.02168056,0.1348,18.71,9.75,2.22,22.99,138.7982196,48.9,0.07
1,4,149,974,82,94006,94001,progeny,12X-082-070,M,1,388,18.62862788,41.49810127,25.61100872,1.530195674,35.8,40.41096148,29,8.965517241,21.31570615,0.1614,25.89,10.39,2.91,31.59,160.4089219,46.7,NA
